number,values_0,values_1,datetime_start,datetime_complete,duration,params_amount_heads,params_attn_dropout,params_batch_size,params_dropout,params_encoder_output_dim,params_ff_dropout,params_head_dim,params_layer_norm,params_lr,params_n_layers,params_neurons,params_transformer_depth,state
0,-0.0010192632908001542,0.5081010460853577,2025-01-15 18:05:31.336615,2025-01-15 18:19:04.929084,0 days 00:13:33.592469,6,0.15000000000000002,128,0.45,257,0.05,126,1,0.005527021814318444,2,1100,6,COMPLETE
1,0.3352263569831848,0.3762929141521454,2025-01-15 18:19:04.930395,2025-01-15 18:25:56.941537,0 days 00:06:52.011142,5,0.05,64,0.05,139,0.0,91,0,0.0007271142476431458,3,600,3,COMPLETE
2,0.08888185024261475,0.46707791090011597,2025-01-15 18:25:56.942730,2025-01-15 18:33:30.242645,0 days 00:07:33.299915,2,0.30000000000000004,64,0.15000000000000002,215,0.45,60,0,0.007985458596949933,2,100,5,COMPLETE
3,0.07174061238765717,0.47235026955604553,2025-01-15 18:33:30.243910,2025-01-15 18:41:35.110390,0 days 00:08:04.866480,4,0.0,64,0.5,303,0.30000000000000004,95,1,0.001344050648280235,1,900,4,COMPLETE
4,0.25589537620544434,0.41424161195755005,2025-01-15 18:41:35.111446,2025-01-15 18:47:34.081850,0 days 00:05:58.970404,4,0.5,16,0.2,240,0.5,82,1,0.0006398144375630167,1,1100,3,COMPLETE
5,0.34330326318740845,0.36935800313949585,2025-01-15 18:47:34.082969,2025-01-15 18:55:31.127614,0 days 00:07:57.044645,2,0.05,32,0.05,149,0.30000000000000004,89,1,0.00033919000662748107,2,600,4,COMPLETE
6,0.12753260135650635,0.43729549646377563,2025-01-15 18:55:31.128725,2025-01-15 18:59:03.010535,0 days 00:03:31.881810,5,0.5,64,0.30000000000000004,139,0.15000000000000002,128,1,0.0009545217728311468,3,500,2,COMPLETE
7,0.20321866869926453,0.41846761107444763,2025-01-15 18:59:03.011478,2025-01-15 19:11:56.293728,0 days 00:12:53.282250,3,0.35000000000000003,64,0.5,261,0.25,44,0,0.0007803024878059097,3,700,6,COMPLETE
8,0.27637311816215515,0.4037778377532959,2025-01-15 19:11:56.294906,2025-01-15 19:18:56.179285,0 days 00:06:59.884379,3,0.05,32,0.35000000000000003,278,0.30000000000000004,110,0,0.0023167189222836827,1,800,3,COMPLETE
9,0.005066597368568182,0.5018182992935181,2025-01-15 19:18:56.179962,2025-01-15 19:20:57.168809,0 days 00:02:00.988847,2,0.05,16,0.0,246,0.2,33,1,0.0010790524199167327,1,1200,2,COMPLETE
10,0.3353317379951477,0.36734136939048767,2025-01-15 19:20:57.169653,2025-01-15 19:32:43.620181,0 days 00:11:46.450528,3,0.15000000000000002,32,0.1,188,0.4,68,1,0.0001881130917140674,2,1700,5,COMPLETE
11,0.316293329000473,0.3843006193637848,2025-01-15 19:32:43.621110,2025-01-15 19:39:37.214966,0 days 00:06:53.593856,2,0.2,32,0.1,184,0.4,71,1,0.00016848286637947778,2,1800,4,COMPLETE
12,0.30994877219200134,0.3814426064491272,2025-01-15 19:39:37.216185,2025-01-15 20:02:40.762673,0 days 00:23:03.546488,3,0.15000000000000002,32,0.0,347,0.35000000000000003,104,1,0.00021538077492118583,2,2000,5,COMPLETE
13,0.30489906668663025,0.388292133808136,2025-01-15 20:02:40.763566,2025-01-15 20:09:40.456861,0 days 00:06:59.693295,2,0.15000000000000002,32,0.1,180,0.15000000000000002,66,1,0.00031595326116285274,2,100,5,COMPLETE
14,0.253579318523407,0.4074774384498596,2025-01-15 20:09:40.457891,2025-01-15 20:19:58.029499,0 days 00:10:17.571608,3,0.0,128,0.2,181,0.4,80,1,0.00013818636451754743,2,1400,4,COMPLETE
15,0.32351452112197876,0.376878559589386,2025-01-15 20:19:58.030427,2025-01-15 20:28:16.528939,0 days 00:08:18.498512,4,0.25,32,0.1,129,0.25,55,0,0.00010935038253736242,3,300,4,COMPLETE
16,0.3490763306617737,0.3746544122695923,2025-01-15 20:28:16.529958,2025-01-15 20:38:54.207415,0 days 00:10:37.677457,2,0.4,32,0.25,156,0.35000000000000003,109,1,0.0003517500916231077,2,1500,5,COMPLETE
17,0.319723904132843,0.3875054121017456,2025-01-15 20:38:54.208466,2025-01-15 20:48:33.386452,0 days 00:09:39.177986,2,0.4,32,0.35000000000000003,161,0.5,113,1,0.0003442617168865709,2,1400,6,COMPLETE
18,-0.0005967140314169228,0.5036505460739136,2025-01-15 20:48:33.387400,2025-01-15 20:53:32.267025,0 days 00:04:58.879625,5,0.4,128,0.25,220,0.35000000000000003,99,1,0.0004089257324445174,3,1500,5,COMPLETE
19,0.3185282349586487,0.3928706645965576,2025-01-15 20:53:32.268065,2025-01-15 21:02:30.191561,0 days 00:08:57.923496,6,0.45,16,0.4,164,0.15000000000000002,119,1,0.0004528748704375294,1,400,3,COMPLETE
20,0.3253559470176697,0.38080719113349915,2025-01-15 21:02:30.192553,2025-01-15 21:12:00.429759,0 days 00:09:30.237206,2,0.30000000000000004,32,0.25,210,0.30000000000000004,85,0,0.00024804826550183943,2,1600,5,COMPLETE
21,0.314702570438385,0.38726189732551575,2025-01-15 21:12:00.430714,2025-01-15 21:21:27.209667,0 days 00:09:26.778953,3,0.4,32,0.2,159,0.4,107,1,0.00020402915353292316,2,1700,5,COMPLETE
22,0.16223138570785522,0.4432186186313629,2025-01-15 21:21:27.210467,2025-01-15 21:32:42.268411,0 days 00:11:15.057944,3,0.25,32,0.30000000000000004,198,0.35000000000000003,76,1,0.0004891664276311443,2,1900,6,COMPLETE
23,0.3378683030605316,0.37899482250213623,2025-01-15 21:32:42.269216,2025-01-15 21:45:00.515272,0 days 00:12:18.246056,2,0.35000000000000003,32,0.05,150,0.45,120,1,0.00010530803649526929,2,1300,5,COMPLETE
24,0.29026857018470764,0.39004531502723694,2025-01-15 21:45:00.516234,2025-01-15 21:55:26.430896,0 days 00:10:25.914662,3,0.1,32,0.15000000000000002,191,0.45,91,1,0.00027990489002398413,3,1700,4,COMPLETE
25,0.3150893747806549,0.37878113985061646,2025-01-15 21:55:26.431838,2025-01-15 22:24:25.744764,0 days 00:28:59.312926,2,0.45,128,0.30000000000000004,348,0.2,99,1,0.00017892746427045005,1,900,6,COMPLETE
26,0.32424160838127136,0.3800238370895386,2025-01-15 22:24:25.746103,2025-01-15 22:29:42.645390,0 days 00:05:16.899287,2,0.2,16,0.4,168,0.35000000000000003,51,0,0.0005449710039257075,2,2000,4,COMPLETE
27,0.22254490852355957,0.42085951566696167,2025-01-15 22:29:42.646479,2025-01-15 22:46:48.027014,0 days 00:17:05.380535,3,0.30000000000000004,32,0.15000000000000002,315,0.30000000000000004,115,1,0.00033538298978160326,2,1500,5,COMPLETE
28,0.3321912884712219,0.38215500116348267,2025-01-15 22:46:48.027976,2025-01-15 22:59:19.414142,0 days 00:12:31.386166,4,0.45,32,0.05,149,0.4,104,1,0.00025078113696900796,2,1300,5,COMPLETE
29,-5.8388708566781133e-05,0.5047742128372192,2025-01-15 22:59:19.414859,2025-01-15 23:06:28.362679,0 days 00:07:08.947820,2,0.1,128,0.45,224,0.05,121,1,0.003514933209059695,2,1000,6,COMPLETE
30,-0.0005661249160766602,0.5001381635665894,2025-01-15 23:06:28.363382,2025-01-15 23:09:10.938743,0 days 00:02:42.575361,3,0.2,16,0.35000000000000003,129,0.2,33,1,0.0014360563654746662,3,1800,5,COMPLETE
31,0.3178311884403229,0.3787620961666107,2025-01-15 23:09:10.939671,2025-01-15 23:29:27.749185,0 days 00:20:16.809514,6,0.35000000000000003,32,0.05,150,0.45,123,1,0.0001005808370410207,2,1200,5,COMPLETE
32,0.30918893218040466,0.3905371129512787,2025-01-15 23:29:27.750033,2025-01-15 23:35:53.034444,0 days 00:06:25.284411,2,0.35000000000000003,32,0.25,201,0.0,88,1,0.0003986781486438724,2,1600,3,COMPLETE
33,0.32755163311958313,0.38748452067375183,2025-01-15 23:35:53.035317,2025-01-15 23:42:57.115319,0 days 00:07:04.080002,5,0.4,32,0.2,146,0.45,72,0,0.0006025997773871309,2,1300,4,COMPLETE
34,0.0027237057220190763,0.5042819380760193,2025-01-15 23:42:57.116128,2025-01-15 23:46:14.294540,0 days 00:03:17.178412,2,0.45,64,0.4,174,0.35000000000000003,63,1,0.008924158818078324,1,1500,6,COMPLETE
35,0.24709025025367737,0.4064595699310303,2025-01-15 23:46:14.295346,2025-01-15 23:54:34.076435,0 days 00:08:19.781089,4,0.5,64,0.45,291,0.30000000000000004,95,0,0.00016764949878673608,2,1700,2,COMPLETE
36,-0.00011601448204601184,0.5060572624206543,2025-01-15 23:54:34.077536,2025-01-16 00:02:57.387898,0 days 00:08:23.310362,2,0.35000000000000003,128,0.15000000000000002,327,0.5,118,1,0.005744224324958265,3,1000,5,COMPLETE
37,0.2921740412712097,0.3936483561992645,2025-01-16 00:02:57.388762,2025-01-16 00:15:08.445898,0 days 00:12:11.057136,5,0.1,32,0.0,230,0.25,126,1,0.0007420031477492567,1,600,4,COMPLETE
38,0.27862614393234253,0.4017816185951233,2025-01-16 00:15:08.446442,2025-01-16 00:35:15.344571,0 days 00:20:06.898129,6,0.30000000000000004,64,0.1,266,0.1,46,0,0.0004842469397663668,3,1100,6,COMPLETE
39,0.32359641790390015,0.3848193883895874,2025-01-16 00:35:15.345666,2025-01-16 00:40:54.089241,0 days 00:05:38.743575,3,0.5,16,0.5,139,0.25,98,1,0.00013058956517949678,1,1300,2,COMPLETE
40,0.0010670542251318693,0.507240355014801,2025-01-16 00:40:54.090053,2025-01-16 00:42:51.142629,0 days 00:01:57.052576,2,0.05,32,0.25,155,0.4,110,1,0.0008189560486288068,2,1800,3,COMPLETE
41,0.32117921113967896,0.3804938793182373,2025-01-16 00:42:51.143516,2025-01-16 00:50:22.870262,0 days 00:07:31.726746,2,0.0,64,0.05,171,0.35000000000000003,91,0,0.00026774254201337874,2,1600,5,COMPLETE
42,0.07715874910354614,0.4724985957145691,2025-01-16 00:50:22.871143,2025-01-16 00:54:52.338295,0 days 00:04:29.467152,2,0.25,32,0.30000000000000004,141,0.45,76,1,0.0017563065308067905,2,800,5,COMPLETE
43,0.2708575129508972,0.40107378363609314,2025-01-16 00:54:52.339329,2025-01-16 01:05:20.800439,0 days 00:10:28.461110,4,0.35000000000000003,32,0.15000000000000002,242,0.30000000000000004,103,1,0.0006359342451160912,2,200,4,COMPLETE
44,0.1674773246049881,0.44812822341918945,2025-01-16 01:05:20.801426,2025-01-16 01:09:46.616620,0 days 00:04:25.815194,3,0.4,32,0.2,209,0.0,57,1,0.0010125214489226343,1,1400,3,COMPLETE
45,0.32639601826667786,0.3801894783973694,2025-01-16 01:09:46.617680,2025-01-16 01:18:53.836479,0 days 00:09:07.218799,2,0.15000000000000002,16,0.35000000000000003,191,0.4,83,0,0.0003338017452390492,3,600,5,COMPLETE
46,-0.00013589859008789062,0.5035455226898193,2025-01-16 01:18:53.837545,2025-01-16 01:23:09.118179,0 days 00:04:15.280634,5,0.45,128,0.05,129,0.35000000000000003,39,1,0.006823814305822274,2,1200,6,COMPLETE
47,-0.001053881598636508,0.5109376907348633,2025-01-16 01:23:09.119095,2025-01-16 01:27:04.820477,0 days 00:03:55.701382,2,0.0,32,0.0,254,0.1,112,1,0.009754926015543244,2,1900,4,COMPLETE
48,-6.662607484031469e-05,0.5042291283607483,2025-01-16 01:27:04.821528,2025-01-16 01:31:28.767124,0 days 00:04:23.945596,3,0.30000000000000004,64,0.1,180,0.25,66,1,0.0030288068651146034,2,1500,5,COMPLETE
49,0.20186695456504822,0.43118056654930115,2025-01-16 01:31:28.768193,2025-01-16 01:44:15.561314,0 days 00:12:46.793121,2,0.35000000000000003,32,0.35000000000000003,335,0.45,116,0,0.000402312863208604,2,400,5,COMPLETE
50,0.3311184346675873,0.37892094254493713,2025-01-16 01:44:15.562196,2025-01-16 01:49:45.734265,0 days 00:05:30.172069,4,0.4,32,0.25,157,0.30000000000000004,94,1,0.00021508741931296763,1,1400,2,COMPLETE
51,0.31817421317100525,0.38065746426582336,2025-01-16 01:49:45.735366,2025-01-16 01:57:03.517740,0 days 00:07:17.782374,4,0.4,32,0.25,159,0.35000000000000003,107,1,0.00023063437783718115,2,1400,3,COMPLETE
52,0.3317733705043793,0.3729613423347473,2025-01-16 01:57:03.518625,2025-01-16 02:09:59.338878,0 days 00:12:55.820253,2,0.1,32,0.2,283,0.4,93,1,0.00019986280817693765,1,1600,4,COMPLETE
53,0.2914896309375763,0.395317405462265,2025-01-16 02:09:59.340078,2025-01-16 02:23:12.501296,0 days 00:13:13.161218,2,0.05,32,0.2,269,0.4,77,1,0.0002882890532407758,3,100,6,COMPLETE
54,0.17260883748531342,0.4413653314113617,2025-01-16 02:23:12.502171,2025-01-16 02:33:17.300869,0 days 00:10:04.798698,2,0.15000000000000002,128,0.30000000000000004,293,0.2,70,1,0.000149680190623678,2,1600,4,COMPLETE
55,0.31522488594055176,0.38699978590011597,2025-01-16 02:33:17.301732,2025-01-16 02:48:01.250728,0 days 00:14:43.948996,3,0.45,16,0.2,188,0.35000000000000003,107,1,0.0001930345077717826,2,1700,6,COMPLETE
56,0.3384508490562439,0.37433725595474243,2025-01-16 02:48:01.251874,2025-01-16 03:05:26.630155,0 days 00:17:25.378281,5,0.1,32,0.15000000000000002,172,0.5,102,0,0.00012096226518440917,1,1900,5,COMPLETE
57,0.3199532926082611,0.3765749931335449,2025-01-16 03:05:26.631141,2025-01-16 03:16:19.050506,0 days 00:10:52.419365,2,0.2,32,0.30000000000000004,174,0.4,101,1,0.00011681766569028084,2,1900,5,COMPLETE
58,0.2323492467403412,0.4216908812522888,2025-01-16 03:16:19.051517,2025-01-16 03:24:24.127270,0 days 00:08:05.075753,3,0.1,32,0.25,166,0.30000000000000004,87,1,0.0007771775815904649,1,1100,5,COMPLETE
59,0.27838683128356934,0.39493855834007263,2025-01-16 03:24:24.128003,2025-01-16 03:31:22.563130,0 days 00:06:58.435127,2,0.25,32,0.15000000000000002,232,0.5,128,0,0.0008873390841776609,3,1500,4,COMPLETE
60,0.1964949071407318,0.4279928207397461,2025-01-16 03:31:22.564261,2025-01-16 03:45:00.233084,0 days 00:13:37.668823,3,0.4,128,0.2,198,0.4,112,1,0.0012262659742951797,2,800,5,COMPLETE
61,0.31215593218803406,0.3923296332359314,2025-01-16 03:45:00.233994,2025-01-16 03:50:31.099607,0 days 00:05:30.865613,2,0.05,32,0.25,141,0.35000000000000003,50,1,0.0003616045195877598,2,1600,4,COMPLETE
62,0.32910674810409546,0.3854193389415741,2025-01-16 03:50:31.100684,2025-01-16 03:59:23.961623,0 days 00:08:52.860939,6,0.35000000000000003,64,0.30000000000000004,150,0.30000000000000004,60,1,0.0005452375300079468,2,1700,3,COMPLETE
63,0.28967946767807007,0.3943144381046295,2025-01-16 03:59:23.962520,2025-01-16 04:09:42.541855,0 days 00:10:18.579335,2,0.5,16,0.05,178,0.05,108,1,0.00029948681696202094,2,1300,6,COMPLETE
64,0.32728439569473267,0.3801303207874298,2025-01-16 04:09:42.542966,2025-01-16 04:19:00.317459,0 days 00:09:17.774493,5,0.45,32,0.1,134,0.35000000000000003,115,0,0.00024450061961644044,2,1800,4,COMPLETE
65,0.2659305930137634,0.40017762780189514,2025-01-16 04:19:00.318437,2025-01-16 04:27:40.670030,0 days 00:08:40.351593,2,0.4,32,0.30000000000000004,165,0.45,97,1,0.00016522590285017994,3,1200,5,COMPLETE
66,0.33151379227638245,0.3762171268463135,2025-01-16 04:27:40.672011,2025-01-16 04:32:51.221255,0 days 00:05:10.549244,2,0.45,32,0.25,146,0.30000000000000004,123,1,0.00019393355369937812,1,2000,2,COMPLETE
67,0.27907347679138184,0.3959619998931885,2025-01-16 04:32:51.222280,2025-01-16 04:44:50.965416,0 days 00:11:59.743136,2,0.25,128,0.4,153,0.4,104,1,0.0004511107895333068,2,500,6,COMPLETE
68,0.3249571621417999,0.38855451345443726,2025-01-16 04:44:50.966631,2025-01-16 04:56:31.876343,0 days 00:11:40.909712,3,0.30000000000000004,32,0.1,251,0.35000000000000003,92,0,0.0003598455621431039,2,1600,5,COMPLETE
69,0.19799229502677917,0.4282808303833008,2025-01-16 04:56:31.877126,2025-01-16 05:05:22.181395,0 days 00:08:50.304269,5,0.05,64,0.15000000000000002,162,0.15000000000000002,119,1,0.000695604663837561,2,900,4,COMPLETE
70,0.13437119126319885,0.4451655447483063,2025-01-16 05:05:22.182245,2025-01-16 05:13:14.831969,0 days 00:07:52.649724,2,0.15000000000000002,16,0.2,213,0.25,79,1,0.0005569156847770707,1,1500,6,COMPLETE
71,0.34647589921951294,0.36986082792282104,2025-01-16 05:13:14.832942,2025-01-16 05:18:14.487231,0 days 00:04:59.654289,2,0.45,32,0.25,143,0.30000000000000004,102,1,0.00019542778027936643,2,2000,2,COMPLETE
72,0.32145029306411743,0.382802814245224,2025-01-16 05:18:14.488260,2025-01-16 05:29:13.842007,0 days 00:10:59.353747,4,0.2,32,0.25,135,0.4,71,1,0.0001401766711269068,2,1900,5,COMPLETE
73,0.3152678310871124,0.38214898109436035,2025-01-16 05:29:13.843204,2025-01-16 05:41:05.428429,0 days 00:11:51.585225,3,0.4,32,0.5,202,0.35000000000000003,62,1,0.00021103932694381834,2,1800,5,COMPLETE
74,0.3322800099849701,0.37994512915611267,2025-01-16 05:41:05.429560,2025-01-16 05:47:31.714867,0 days 00:06:26.285307,4,0.1,32,0.15000000000000002,282,0.1,65,0,0.00026128458497822604,2,1700,2,COMPLETE
75,0.30192458629608154,0.39113014936447144,2025-01-16 05:47:31.715861,2025-01-16 05:59:17.615692,0 days 00:11:45.899831,4,0.35000000000000003,32,0.05,170,0.4,57,1,0.00012307203152360244,2,1500,5,COMPLETE
76,0.3172294795513153,0.38350358605384827,2025-01-16 05:59:17.616551,2025-01-16 06:12:49.982352,0 days 00:13:32.365801,3,0.2,32,0.1,188,0.45,74,1,0.00010191234062413138,2,1600,5,COMPLETE
77,0.2965448498725891,0.4020313322544098,2025-01-16 06:12:49.983531,2025-01-16 06:23:16.685794,0 days 00:10:26.702263,2,0.45,32,0.2,311,0.35000000000000003,68,1,0.00030867788792962597,2,1400,4,COMPLETE
78,0.32659465074539185,0.38603541254997253,2025-01-16 06:23:16.686667,2025-01-16 06:31:32.591695,0 days 00:08:15.905028,6,0.4,32,0.0,233,0.45,38,0,0.00015487828345984992,2,1700,3,COMPLETE
79,0.3148581087589264,0.3826290965080261,2025-01-16 06:31:32.592726,2025-01-16 06:40:23.085701,0 days 00:08:50.492975,3,0.1,64,0.15000000000000002,222,0.30000000000000004,111,1,0.00023136628473090988,2,1800,3,COMPLETE
80,0.12806470692157745,0.45849141478538513,2025-01-16 06:40:23.086576,2025-01-16 06:46:25.360098,0 days 00:06:02.273522,2,0.5,128,0.30000000000000004,148,0.2,101,1,0.00017655580397451888,2,1300,5,COMPLETE
81,0.3343640863895416,0.37642309069633484,2025-01-16 06:46:25.360963,2025-01-16 06:50:48.138284,0 days 00:04:22.777321,2,0.45,32,0.25,155,0.4,82,1,0.0001927144526230513,2,1900,2,COMPLETE
82,0.30472129583358765,0.3887801766395569,2025-01-16 06:50:48.139311,2025-01-16 06:58:24.661229,0 days 00:07:36.521918,2,0.0,32,0.35000000000000003,141,0.30000000000000004,122,1,0.0001341330305958459,2,2000,5,COMPLETE
83,0.0004123210965190083,0.5071064233779907,2025-01-16 06:58:24.662410,2025-01-16 07:05:44.081302,0 days 00:07:19.418892,2,0.4,32,0.1,261,0.35000000000000003,104,1,0.0006773524769632263,2,2000,6,COMPLETE
84,0.3271610140800476,0.37360289692878723,2025-01-16 07:05:44.082099,2025-01-16 07:10:12.986673,0 days 00:04:28.904574,3,0.45,16,0.25,147,0.5,117,0,0.0009003887155224508,2,1400,2,COMPLETE
85,0.3274044096469879,0.3813784718513489,2025-01-16 07:10:12.987749,2025-01-16 07:21:23.360328,0 days 00:11:10.372579,4,0.15000000000000002,16,0.45,161,0.5,108,0,0.0002777446460602374,2,1500,5,COMPLETE
86,0.32590967416763306,0.3965485394001007,2025-01-16 07:21:23.361492,2025-01-16 07:31:16.055727,0 days 00:09:52.694235,5,0.35000000000000003,32,0.05,183,0.4,52,0,0.0009212928233300824,2,1400,5,COMPLETE
87,0.3128226399421692,0.38044071197509766,2025-01-16 07:31:16.056701,2025-01-16 07:42:09.721572,0 days 00:10:53.664871,3,0.30000000000000004,32,0.1,177,0.35000000000000003,117,1,0.00011612848971983856,3,200,4,COMPLETE
88,-0.0010633707279339433,0.5014638900756836,2025-01-16 07:42:09.722531,2025-01-16 07:48:32.203497,0 days 00:06:22.480966,3,0.2,32,0.25,336,0.05,113,1,0.003883401347691711,2,1600,5,COMPLETE
89,0.33961835503578186,0.3735153079032898,2025-01-16 07:48:32.204435,2025-01-16 07:59:36.265194,0 days 00:11:04.060759,2,0.15000000000000002,64,0.25,205,0.4,68,0,0.0004135927248081765,2,1700,6,COMPLETE
90,0.18648870289325714,0.4333651661872864,2025-01-16 07:59:36.266355,2025-01-16 08:05:03.355768,0 days 00:05:27.089413,2,0.15000000000000002,64,0.15000000000000002,191,0.0,73,1,0.00043995255352228315,2,1800,5,COMPLETE
91,0.3441479802131653,0.38033875823020935,2025-01-16 08:05:03.356633,2025-01-16 08:09:21.286663,0 days 00:04:17.930030,2,0.15000000000000002,32,0.2,196,0.4,67,0,0.00038830292283823393,2,1700,2,COMPLETE
92,0.30639415979385376,0.39284464716911316,2025-01-16 08:09:21.287803,2025-01-16 08:21:07.326615,0 days 00:11:46.038812,2,0.15000000000000002,32,0.30000000000000004,207,0.4,68,1,0.00039108817609763435,2,1700,5,COMPLETE
93,0.23691049218177795,0.41948217153549194,2025-01-16 08:21:07.327765,2025-01-16 08:29:48.941576,0 days 00:08:41.613811,2,0.1,32,0.25,173,0.35000000000000003,63,1,0.0004941364644739386,2,1600,5,COMPLETE
94,0.32095032930374146,0.3803521394729614,2025-01-16 08:29:48.942703,2025-01-16 08:39:05.613946,0 days 00:09:16.671243,6,0.15000000000000002,128,0.1,185,0.4,110,1,0.00022458044542633137,2,1400,2,COMPLETE
95,0.292162150144577,0.3968982696533203,2025-01-16 08:39:05.615027,2025-01-16 08:52:12.417295,0 days 00:13:06.802268,2,0.1,16,0.2,195,0.15000000000000002,101,1,0.0003246171411707711,2,700,5,COMPLETE
96,-0.0002636194112710655,0.5068915486335754,2025-01-16 08:52:12.418492,2025-01-16 09:00:07.627005,0 days 00:07:55.208513,2,0.35000000000000003,32,0.25,169,0.45,114,1,0.007720775001729791,3,1500,6,COMPLETE
97,-9.160042100120336e-05,0.505890965461731,2025-01-16 09:00:07.628280,2025-01-16 09:06:41.480609,0 days 00:06:33.852329,2,0.4,32,0.05,144,0.30000000000000004,109,1,0.0017827951695649187,2,1000,5,COMPLETE
98,0.33903783559799194,0.37740832567214966,2025-01-16 09:06:41.481710,2025-01-16 09:12:12.352058,0 days 00:05:30.870348,4,0.4,32,0.2,134,0.30000000000000004,59,1,0.0002915664630734215,2,700,2,COMPLETE
99,0.3248998820781708,0.3888832628726959,2025-01-16 09:12:12.353112,2025-01-16 09:19:30.778405,0 days 00:07:18.425293,4,0.25,32,0.30000000000000004,217,0.35000000000000003,60,0,0.0002500706376091105,1,1700,2,COMPLETE
