number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_feature_rate,params_lr,params_n_tree,params_tree_depth,state
0,0.4794162941800578,0.4033932772767077,2025-01-29 12:38:26.255363,2025-01-29 12:58:33.702621,0 days 00:20:07.447258,128,0.85,0.0007727478299884834,98,3,COMPLETE
1,0.2736526637532683,0.4680832949071506,2025-01-29 12:58:33.705868,2025-01-29 13:50:00.008092,0 days 00:51:26.302224,256,0.4,0.0004926630052832605,82,5,COMPLETE
2,0.4795935959531123,0.39670366595943946,2025-01-29 13:50:00.010915,2025-01-29 14:00:18.853567,0 days 00:10:18.842652,256,0.8,0.0007445119838141148,29,1,COMPLETE
3,0.4699493671179161,0.40410446152582413,2025-01-29 14:00:18.856322,2025-01-29 14:19:03.275314,0 days 00:18:44.418992,256,0.35,0.0009319636232670655,37,1,COMPLETE
4,0.23572804104078102,0.49920533742448114,2025-01-29 14:19:03.278292,2025-01-29 14:25:35.650430,0 days 00:06:32.372138,128,0.9,0.00011261242230664637,18,4,COMPLETE
5,0.3735119128945284,0.4345810547882035,2025-01-29 14:25:35.653789,2025-01-29 14:50:08.546164,0 days 00:24:32.892375,256,0.65,0.0007473355392809666,80,4,COMPLETE
6,0.3907240464428036,0.42962378884171615,2025-01-29 14:50:08.548759,2025-01-29 15:05:17.051540,0 days 00:15:08.502781,128,0.6,0.0005518368008322464,50,4,COMPLETE
7,0.436826594180679,0.41638502581753356,2025-01-29 15:05:17.054952,2025-01-29 15:18:37.495070,0 days 00:13:20.440118,128,0.75,0.0001759982421393542,38,2,COMPLETE
8,0.18248636505502738,0.5629377190215312,2025-01-29 15:18:37.498366,2025-01-29 15:54:36.320634,0 days 00:35:58.822268,256,0.2,0.0002386797960207061,43,5,COMPLETE
9,0.07025586480003164,0.59323285650251,2025-01-29 15:54:36.324091,2025-01-29 16:33:53.041299,0 days 00:39:16.717208,128,0.4,0.00012796906217980394,98,5,COMPLETE
10,0.4538798120672576,0.4133819024124814,2025-01-29 16:33:53.043520,2025-01-29 16:38:51.247216,0 days 00:04:58.203696,256,0.95,0.0003301556611455841,5,1,COMPLETE
11,0.5045237665244606,0.39143690821809823,2025-01-29 16:38:51.248672,2025-01-29 16:43:58.138206,0 days 00:05:06.889534,256,0.75,0.000999893635981886,19,2,COMPLETE
12,0.4866107775072687,0.39869129312495416,2025-01-29 16:43:58.141288,2025-01-29 16:49:35.564193,0 days 00:05:37.422905,256,0.75,0.000951818109561304,21,2,COMPLETE
13,0.43537572631624044,0.41606160556881466,2025-01-29 16:49:35.567208,2025-01-29 17:03:18.892183,0 days 00:13:43.324975,256,0.1,0.0009471110212445573,15,2,COMPLETE
14,0.5146202036588019,0.38878470103563717,2025-01-29 17:03:18.894706,2025-01-29 17:24:18.214480,0 days 00:20:59.319774,256,0.65,0.0004905739541370747,62,2,COMPLETE
15,0.46080000294218165,0.40664633010987294,2025-01-29 17:24:18.217835,2025-01-29 17:56:54.052596,0 days 00:32:35.834761,256,0.55,0.000365023302179031,65,3,COMPLETE
16,0.5018864128487486,0.3898538690636678,2025-01-29 17:56:54.055757,2025-01-29 18:36:22.160431,0 days 00:39:28.104674,256,0.65,0.00023709549363390135,68,2,COMPLETE
17,0.47034832678997135,0.40884234433514194,2025-01-29 18:36:22.163108,2025-01-29 19:02:54.806157,0 days 00:26:32.643049,256,0.5,0.00045725826327792923,61,3,COMPLETE
18,0.4648916682522698,0.4061443865021106,2025-01-29 19:02:54.810140,2025-01-29 19:30:01.779526,0 days 00:27:06.969386,128,0.25,0.000581949413211177,78,2,COMPLETE
19,0.4566046079885463,0.41077048044841014,2025-01-29 19:30:01.783142,2025-01-29 19:56:22.065531,0 days 00:26:20.282389,256,0.5,0.0003829606740302138,53,3,COMPLETE
20,0.45978664022212223,0.40864972264622157,2025-01-29 19:56:22.068410,2025-01-29 20:40:39.237327,0 days 00:44:17.168917,256,0.7000000000000001,0.0002700618537144235,73,1,COMPLETE
21,0.4966608106442216,0.39263668565495946,2025-01-29 20:40:39.240132,2025-01-29 21:17:50.357547,0 days 00:37:11.117415,256,0.65,0.00023603258644694312,64,2,COMPLETE
22,0.49115468872392115,0.3946762881937981,2025-01-29 21:17:50.360393,2025-01-29 21:57:13.159877,0 days 00:39:22.799484,256,0.55,0.00039763759126923925,89,2,COMPLETE
23,0.4049287857990517,0.42931714718585257,2025-01-29 21:57:13.162553,2025-01-29 22:14:20.758734,0 days 00:17:07.596181,128,0.65,0.00028828761336531473,55,3,COMPLETE
24,0.5063437542694911,0.39320746118917715,2025-01-29 22:14:20.762856,2025-01-29 22:46:36.587523,0 days 00:32:15.824667,256,0.45000000000000007,0.0006094137434660518,71,2,COMPLETE
25,0.44920259207327995,0.4129551911521501,2025-01-29 22:46:36.591309,2025-01-29 23:19:23.841496,0 days 00:32:47.250187,256,0.8,0.00018945045734007371,46,1,COMPLETE
26,0.3032840518773917,0.4668533764230386,2025-01-29 23:19:23.844407,2025-01-29 23:41:09.063141,0 days 00:21:45.218734,128,0.30000000000000004,0.0004447700364446891,60,4,COMPLETE
27,0.4120706399111431,0.43255508579423385,2025-01-29 23:41:09.066065,2025-01-30 01:03:33.580436,0 days 01:22:24.514371,256,0.1,0.00032431727356517406,88,2,COMPLETE
28,0.4692826612618276,0.402054294234787,2025-01-30 01:03:33.582212,2025-01-30 01:28:00.449694,0 days 00:24:26.867482,256,0.7000000000000001,0.0004888397940937721,71,3,COMPLETE
29,0.4807497099445059,0.3998348494109074,2025-01-30 01:28:00.453317,2025-01-30 01:49:04.140102,0 days 00:21:03.686785,128,0.85,0.0006615640954508251,91,3,COMPLETE
30,0.4405833727957555,0.4182137294083555,2025-01-30 01:49:04.142270,2025-01-30 02:01:07.263627,0 days 00:12:03.121357,128,0.6,0.000672102273279562,56,1,COMPLETE
31,0.49723584632312406,0.39439458919650644,2025-01-30 02:01:07.265064,2025-01-30 02:27:36.516783,0 days 00:26:29.251719,256,0.45000000000000007,0.0005510479440478351,69,2,COMPLETE
32,0.48716001486875066,0.3976441370142906,2025-01-30 02:27:36.519612,2025-01-30 02:49:37.470222,0 days 00:22:00.950610,256,0.6,0.0004426683502502133,76,2,COMPLETE
33,0.507943455395502,0.3896182793181553,2025-01-30 02:49:37.472329,2025-01-30 02:58:18.899555,0 days 00:08:41.427226,256,0.75,0.0008157515886792211,28,2,COMPLETE
34,0.47551815012130916,0.3990904844911439,2025-01-30 02:58:18.903546,2025-01-30 03:09:46.603392,0 days 00:11:27.699846,256,0.75,0.000778012593419747,31,1,COMPLETE
35,0.15448803985966614,0.523813373974382,2025-01-30 03:09:46.606240,2025-01-30 03:23:38.180501,0 days 00:13:51.574261,256,0.85,0.0005248926274381438,49,5,COMPLETE
36,0.4010721145328572,0.42788651808977785,2025-01-30 03:23:38.182728,2025-01-30 03:55:37.560594,0 days 00:31:59.377866,256,0.7000000000000001,0.0004225703821401934,83,4,COMPLETE
37,0.4610057273632422,0.40784970086634836,2025-01-30 03:55:37.563309,2025-01-30 04:01:32.409707,0 days 00:05:54.846398,128,0.95,0.0008522108892624583,40,1,COMPLETE
38,0.4912396118513705,0.39767637417568646,2025-01-30 04:01:32.411601,2025-01-30 04:17:03.130197,0 days 00:15:30.718596,256,0.8,0.0008215317115578665,67,3,COMPLETE
39,0.4518658334846635,0.4138304923697655,2025-01-30 04:17:03.132907,2025-01-30 04:25:24.740405,0 days 00:08:21.607498,128,0.35,0.0004910063956694395,30,2,COMPLETE
40,0.41846238789448514,0.41435090858239104,2025-01-30 04:25:24.742217,2025-01-30 04:46:19.423211,0 days 00:20:54.680994,256,0.65,0.0007010694944763853,58,4,COMPLETE
41,0.4769293496957528,0.40151142906163007,2025-01-30 04:46:19.426390,2025-01-30 05:01:55.795192,0 days 00:15:36.368802,256,0.45000000000000007,0.000584569665818544,48,2,COMPLETE
42,0.4909262339362887,0.3977320103606007,2025-01-30 05:01:55.798052,2025-01-30 05:28:37.210039,0 days 00:26:41.411987,256,0.6,0.0003642953559449345,73,2,COMPLETE
43,0.34270479720310437,0.4493781693960095,2025-01-30 05:28:37.212278,2025-01-30 05:35:55.530980,0 days 00:07:18.318702,128,0.55,0.00010284195823119651,8,2,COMPLETE
44,0.08293861529101977,0.6584469679710979,2025-01-30 05:35:55.532345,2025-01-30 05:50:16.997170,0 days 00:14:21.464825,256,0.7000000000000001,0.00013290735396888944,62,5,COMPLETE
45,0.4502157382444736,0.41471310886458806,2025-01-30 05:50:16.999688,2025-01-30 06:57:00.893463,0 days 01:06:43.893775,256,0.2,0.0006490108692419637,100,1,COMPLETE
46,0.46899109989472654,0.40796934575160393,2025-01-30 06:57:00.896976,2025-01-30 07:02:21.614775,0 days 00:05:20.717799,128,0.75,0.0006180575941257068,25,2,COMPLETE
47,0.46941412556920736,0.40725879263316334,2025-01-30 07:02:21.618334,2025-01-30 07:09:49.108382,0 days 00:07:27.490048,256,0.45000000000000007,0.0009917261328472747,35,2,COMPLETE
48,0.4118538355212261,0.42548705134986403,2025-01-30 07:09:49.112207,2025-01-30 07:28:54.873119,0 days 00:19:05.760912,256,0.6,0.0007289304063478761,52,4,COMPLETE
49,0.33867082790753067,0.4514965845321018,2025-01-30 07:28:54.877750,2025-01-30 08:04:41.840022,0 days 00:35:46.962272,128,0.9,0.0005287381805361684,83,5,COMPLETE
